Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
Unincorporated - Sun Village,Antelope Valley,62,1027,0,0,False
Unincorporated - Sunrise Village,San Gabriel Valley,18,1389,0,0,False
Unincorporated - Twin Lakes/Oat Mountain,Northwest County,8,483,1,60,False
Unincorporated - Val Verde,Northwest County,34,1028,1,30,False
Unincorporated - Valencia,Northwest County,15,488,1,33,False
Unincorporated - Valinda,San Gabriel Valley,316,1352,2,9,False
Unincorporated - View Park/Windsor Hills,South LA,73,627,2,17,False
Unincorporated - Walnut Park,Southeast,332,2057,5,31,False
Unincorporated - West Antelope Valley,Antelope Valley,3,199,0,0,False
Unincorporated - West Carson,Harbor,190,860,11,50,False
Unincorporated - West Chatsworth,San Fernando Valley,0,0,0,0,False
Unincorporated - West LA,Westside,27,2836,2,210,False
Unincorporated - West Puente Valley,San Gabriel Valley,176,1790,0,0,False
Unincorporated - West Rancho Dominguez,Harbor,14,1030,1,74,False
Unincorporated - West Whittier/Los Nietos,Southeast,426,1582,6,22,False
Unincorporated - Westfield/Academy Hills,South Bay,2,154,0,0,False
Unincorporated - Westhills,San Fernando Valley,3,358,0,0,False
Unincorporated - White Fence Farms,Antelope Valley,22,597,0,0,False
Unincorporated - Whittier,San Gabriel Valley,33,872,0,0,False
Unincorporated - Whittier Narrows,San Gabriel Valley,0,0,0,0,False
Unincorporated - Willowbrook,South LA,688,1971,12,34,False
Unincorporated - Wiseburn,South Bay,50,830,0,0,False
City of Long Beach,Harbor,4690,1000,139,30,False
City of Pasadena,Verdugos,1415,1002,97,69,False
