Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-04-18,Eastside,273,100.44,17,6.4
2020-04-18,Harbor,859,215.05,42,10.15
2020-04-18,Northeast LA,208,123.39,9,5.34
2020-04-18,Northwest County,234,84.92,10,3.41
2020-04-18,Pomona Valley,97,42.46,4,1.75
2020-04-18,San Fernando Valley,1946,118.23,114,7.03
2020-04-18,San Gabriel Valley,784,53.09,45,3.05
2020-04-18,Santa Monica Mountains,84,112.55,3,4.39
2020-04-18,South Bay,933,120.27,36,4.64
2020-04-18,South LA,1053,124.9,66,7.82
2020-04-18,Southeast,1259,101.02,71,5.86
2020-04-18,Verdugos,686,202.46,39,11.51
2020-04-18,Westside,740,131.5,17,3.02
2020-04-19,Angeles Forest,0,0.0,0,0.0
2020-04-19,Antelope Valley,297,76.61,8,0.86
2020-04-19,Central LA,1702,195.59,42,5.14
2020-04-19,Eastside,283,103.4,10,2.96
2020-04-19,Harbor,894,224.38,35,9.33
2020-04-19,Northeast LA,209,123.99,1,0.6
2020-04-19,Northwest County,239,86.81,5,1.89
2020-04-19,Pomona Valley,98,42.9,1,0.44
2020-04-19,San Fernando Valley,1983,120.52,37,2.29
2020-04-19,San Gabriel Valley,811,54.92,27,1.83
2020-04-19,Santa Monica Mountains,85,114.01,1,1.46
2020-04-19,South Bay,952,122.72,19,2.45
2020-04-19,South LA,1084,128.58,31,3.68
2020-04-19,Southeast,1300,104.35,41,3.33
2020-04-19,Verdugos,694,204.83,8,2.37
2020-04-19,Westside,752,133.64,12,2.14
2020-04-20,Angeles Forest,0,0.0,0,0.0
2020-04-20,Antelope Valley,356,96.95,59,20.34
2020-04-20,Central LA,1867,214.35,165,18.76
2020-04-20,Eastside,349,124.07,66,20.67
2020-04-20,Harbor,948,237.54,54,13.16
2020-04-20,Northeast LA,239,141.78,30,17.79
2020-04-20,Northwest County,262,95.15,23,8.34
2020-04-20,Pomona Valley,110,48.15,12,5.25
2020-04-20,San Fernando Valley,2227,134.96,244,14.44
2020-04-20,San Gabriel Valley,879,59.52,68,4.6
2020-04-20,Santa Monica Mountains,91,122.78,6,8.77
2020-04-20,South Bay,1022,131.74,70,9.02
2020-04-20,South LA,1245,147.68,161,19.1
2020-04-20,Southeast,1474,119.3,174,14.95
2020-04-20,Verdugos,716,211.32,22,6.49
2020-04-20,Westside,818,145.37,66,11.73
2020-04-21,Angeles Forest,0,0.0,0,0.0
2020-04-21,Antelope Valley,469,123.36,113,26.41
2020-04-21,Central LA,2056,235.86,189,21.51
2020-04-21,Eastside,418,148.69,69,24.62
2020-04-21,Harbor,1004,250.71,56,13.17
2020-04-21,Northeast LA,258,153.06,19,11.28
2020-04-21,Northwest County,292,106.15,30,11.0
2020-04-21,Pomona Valley,129,56.47,19,8.32
2020-04-21,San Fernando Valley,2543,154.13,316,19.17
2020-04-21,San Gabriel Valley,996,67.44,117,7.92
