,Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
386,2020-04-23,Central LA,2306,262.62,103,11.230000000000018
387,2020-04-23,Eastside,525,192.51,55,24.609999999999985
388,2020-04-23,Harbor,1116,119.26,53,4.200000000000003
389,2020-04-23,Northeast LA,292,173.23,7,4.159999999999997
390,2020-04-23,Northwest County,336,121.31,10,3.7900000000000063
391,2020-04-23,Pomona Valley,157,68.73,12,5.260000000000005
392,2020-04-23,San Fernando Valley,3039,183.74,203,12.01000000000002
393,2020-04-23,San Gabriel Valley,1222,82.75,95,6.439999999999998
394,2020-04-23,Santa Monica Mountains,102,137.39,2,2.9199999999999875
395,2020-04-23,South Bay,1228,158.3,46,5.930000000000007
396,2020-04-23,South LA,1710,202.84,136,16.140000000000015
397,2020-04-23,Southeast,1895,152.54,122,9.879999999999995
398,2020-04-23,Verdugos,891,185.6,45,9.379999999999995
399,2020-04-23,Westside,902,160.29,24,4.259999999999991
400,2020-04-24,Angeles Forest,0,0.0,0,0.0
401,2020-04-24,Antelope Valley,621,168.8,35,6.920000000000016
402,2020-04-24,Central LA,2401,273.97,95,11.350000000000023
403,2020-04-24,Eastside,571,208.27,46,15.76000000000002
404,2020-04-24,Harbor,1159,124.06,43,4.799999999999997
405,2020-04-24,Northeast LA,305,180.94,13,7.710000000000008
406,2020-04-24,Northwest County,351,126.62,15,5.310000000000002
407,2020-04-24,Pomona Valley,164,71.79,7,3.0600000000000023
408,2020-04-24,San Fernando Valley,3224,195.16,185,11.419999999999987
409,2020-04-24,San Gabriel Valley,1297,87.83,75,5.079999999999998
410,2020-04-24,Santa Monica Mountains,105,140.32,3,2.930000000000007
411,2020-04-24,South Bay,1263,162.81,35,4.509999999999991
412,2020-04-24,South LA,1850,219.44,140,16.599999999999994
413,2020-04-24,Southeast,1989,159.98,94,7.439999999999998
414,2020-04-24,Verdugos,975,203.09,84,17.49000000000001
415,2020-04-24,Westside,917,162.96,15,2.670000000000016
416,2020-04-25,Angeles Forest,2,57.72,2,57.72
417,2020-04-25,Antelope Valley,671,183.95,50,15.149999999999977
418,2020-04-25,Central LA,2454,280.31,53,6.339999999999975
419,2020-04-25,Eastside,595,217.13,24,8.859999999999985
420,2020-04-25,Harbor,1220,129.22,61,5.159999999999997
421,2020-04-25,Northeast LA,313,185.68,8,4.740000000000009
422,2020-04-25,Northwest County,374,134.96,23,8.340000000000003
423,2020-04-25,Pomona Valley,170,74.42,6,2.6299999999999955
424,2020-04-25,San Fernando Valley,3325,201.33,101,6.170000000000016
425,2020-04-25,San Gabriel Valley,1366,92.5,69,4.670000000000002
426,2020-04-25,Santa Monica Mountains,106,141.78,1,1.460000000000008
427,2020-04-25,South Bay,1297,167.19,34,4.3799999999999955
428,2020-04-25,South LA,1912,226.8,62,7.360000000000014
429,2020-04-25,Southeast,2058,165.57,69,5.590000000000003
430,2020-04-25,Verdugos,994,207.05,19,3.960000000000008
