Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-05-24,Antelope Valley,1328,21,21.6,334.3,5.43
2020-05-24,San Fernando,11680,206,224.4,519.5,9.98
2020-05-24,San Gabriel,5133,121,129.6,282.9,7.14
2020-05-24,Metro,6044,110,128.5,507.1,10.78
2020-05-24,West,1859,21,20.9,278.6,3.14
2020-05-24,South,4921,139,128.9,468.4,12.26
2020-05-24,East,5907,197,167.9,447.2,12.71
2020-05-24,South Bay,6148,93,115.3,391.7,7.35
2020-05-25,Antelope Valley,1355,27,22.4,341.1,5.63
2020-05-25,San Fernando,11895,215,225.9,529.1,10.05
2020-05-25,San Gabriel,5253,120,131.6,289.5,7.25
2020-05-25,Metro,6213,169,135.0,521.3,11.33
2020-05-25,West,1881,22,21.4,281.9,3.2
2020-05-25,South,5091,170,136.2,484.5,12.96
2020-05-25,East,6057,150,175.1,458.5,13.26
2020-05-25,South Bay,6296,148,120.4,401.1,7.67
2020-05-26,Antelope Valley,1389,34,24.1,349.6,6.06
2020-05-26,San Fernando,12171,276,224.3,541.3,9.98
2020-05-26,San Gabriel,5498,245,140.0,303.0,7.72
2020-05-26,Metro,6467,254,141.0,542.6,11.83
2020-05-26,West,1904,23,21.9,285.4,3.28
2020-05-26,South,5379,288,148.4,511.9,14.12
2020-05-26,East,6609,552,203.3,500.3,15.39
2020-05-26,South Bay,6414,118,122.1,408.6,7.78
2020-05-27,Antelope Valley,1405,16,22.2,353.7,5.59
2020-05-27,San Fernando,12398,227,219.1,551.4,9.74
2020-05-27,San Gabriel,5633,135,135.1,310.5,7.44
2020-05-27,Metro,6608,141,139.1,554.5,11.67
2020-05-27,West,1928,24,21.1,289.0,3.16
2020-05-27,South,5545,166,149.1,527.7,14.19
2020-05-27,East,6716,107,194.1,508.4,14.7
2020-05-27,South Bay,6527,113,121.1,415.8,7.72
2020-05-28,Antelope Valley,1424,19,22.1,358.4,5.56
2020-05-28,San Fernando,12675,277,218.4,563.8,9.72
2020-05-28,San Gabriel,5770,137,137.7,318.0,7.59
