Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-07-01,over 65,13560,1156.4499374868876,13.158090312745875
2020-07-02,0 to 17,7494,357.3683497727225,8.784675112126381
2020-07-02,18 to 40,42983,1329.8101084502327,30.21321353414071
2020-07-02,41 to 65,37287,1183.8961923038335,20.54964272968563
2020-07-02,over 65,13728,1170.7776358274332,13.57841819773637
2020-07-03,0 to 17,7494,357.3683497727225,8.352083511025159
2020-07-03,18 to 40,42983,1329.8101084502327,28.95359301669921
2020-07-03,41 to 65,37287,1183.8961923038335,19.53814944445886
2020-07-03,over 65,13728,1170.7776358274332,12.896146848186584
2020-07-04,0 to 17,7494,357.3683497727225,7.664024428958649
2020-07-04,18 to 40,42983,1329.8101084502327,26.933780467678975
2020-07-04,41 to 65,37287,1183.8961923038335,18.0050340614694
2020-07-04,over 65,13728,1170.7776358274332,11.872739823861906
2020-07-05,0 to 17,7494,357.3683497727225,7.0679336400396435
2020-07-05,18 to 40,42983,1329.8101084502327,25.216718814956085
2020-07-05,41 to 65,37287,1183.8961923038335,16.644280762958044
2020-07-05,over 65,13728,1170.7776358274332,11.062542596271534
2020-07-06,0 to 17,8226,392.2754263718195,8.536020097320167
2020-07-06,18 to 40,47424,1467.2059787158607,32.24849510705935
2020-07-06,41 to 65,40123,1273.941773910658,21.282181588717577
2020-07-06,over 65,14394,1227.5767256774527,14.15103879467994
2020-07-07,0 to 17,8647,412.3517641426116,9.394390833363536
2020-07-07,18 to 40,49445,1529.7317733132113,34.321344309445536
2020-07-07,41 to 65,41294,1311.1220898703166,22.250584352824827
2020-07-07,over 65,14638,1248.3860018387213,14.175405628592435
2020-07-08,0 to 17,8795,419.40947908341263,9.67710817896512
2020-07-08,18 to 40,50569,1564.5061390368244,35.819629767033845
2020-07-08,41 to 65,42032,1334.554261670682,23.169092829319986
2020-07-08,over 65,14846,1266.1250569270157,14.638375472929786
2020-07-09,0 to 17,8877,423.31983465872133,9.367140968727238
2020-07-09,18 to 40,51293,1586.9052856417138,35.45500277514289
2020-07-09,41 to 65,42547,1350.9059804744602,22.985391134020958
2020-07-09,over 65,14988,1278.2353733815244,14.50435788641108
2020-07-10,0 to 17,9054,431.76048022981445,9.367140968727238
2020-07-10,18 to 40,52499,1624.2165712846654,36.28149062342907
2020-07-10,41 to 65,43307,1375.036672301395,23.54329998641061
2020-07-10,over 65,15188,1295.2921571202692,14.973419439226559
2020-07-11,0 to 17,9282,442.63317621969713,9.452296795715666
2020-07-11,18 to 40,53913,1667.962970869353,37.275927874040775
2020-07-11,41 to 65,44235,1404.501517058494,24.2214087135021
2020-07-11,over 65,15398,1313.201780045951,15.241454612263974
2020-07-12,0 to 17,9569,456.3194207332775,9.752045306714939
2020-07-12,18 to 40,55596,1720.0317053113822,38.19522986571739
2020-07-12,41 to 65,45216,1435.649160061419,24.493559373204373
2020-07-12,over 65,15585,1329.1498728416773,15.35110536487019
2020-07-13,0 to 17,9788,466.7629313551385,9.619202216612988
2020-07-13,18 to 40,56888,1760.0036630648592,37.686961937626954
2020-07-13,41 to 65,46050,1462.12941925045,24.371091576338348
2020-07-13,over 65,15764,1344.4156942878537,15.363288781826434
2020-07-14,0 to 17,10189,485.8855238636602,10.147168343941251
2020-07-14,18 to 40,58788,1818.785953878796,38.88028663836101
2020-07-14,41 to 65,47359,1503.691360831315,25.570822401192526
2020-07-14,over 65,16054,1369.1480307090335,16.16130259246056
2020-07-15,0 to 17,10399,495.8998491174995,10.5456976142471
2020-07-15,18 to 40,59962,1855.1072219922494,39.71340406831793
2020-07-15,41 to 65,48164,1529.2508436216867,26.108319954104513
2020-07-15,over 65,16266,1387.2282214721029,16.484163141801083
2020-07-16,0 to 17,10910,520.2680405685085,11.635692199698997
2020-07-16,18 to 40,62129,1922.149971567934,42.30999022269295
2020-07-16,41 to 65,49476,1570.9080379334475,27.643703259258157
2020-07-16,over 65,16529,1409.657892088552,17.06287544722278
2020-07-17,0 to 17,11170,532.6667289780238,12.521312800378663
2020-07-17,18 to 40,63416,1961.967239082427,45.154080759442444
2020-07-17,41 to 65,50346,1598.531329893228,29.616795542099624
2020-07-17,over 65,16698,1424.0708743477912,18.09237418002558
2020-07-18,0 to 17,11437,545.3992282293337,13.430777032615092
2020-07-18,18 to 40,64716,2002.1867012182784,48.02689948343184
2020-07-18,41 to 65,51157,1624.2813181453912,31.45608041725413
2020-07-18,over 65,16938,1444.539014834285,19.554384214775123
2020-07-19,0 to 17,11745,560.0869052682981,14.479896821112542
2020-07-19,18 to 40,66074,2044.2005701263447,51.027890119722294
2020-07-19,41 to 65,51998,1650.9838337065123,33.36340295733421
2020-07-19,over 65,17121,1460.145971955236,20.66916686627165
