Area,Cases,Case rate,Deaths,Death rate,CF Outbreak,People Vaccinated,Percent Vaccinated
Unincorporated - Littlerock,500,12435,5,124,False,162,5.1
Unincorporated - Littlerock/Juniper Hills,106,8173,1,77,False,127,10.5
Unincorporated - Littlerock/Pearblossom,494,13841,8,224,False,131,4.8
Unincorporated - Llano,36,4105,1,114,False,36,4.9
Unincorporated - Marina del Rey,330,3507,1,11,False,1177,14.1
Unincorporated - Miracle Mile,0,0,0,0,False,,
Unincorporated - Monrovia,353,9096,1,26,False,521,16.7
Unincorporated - Newhall,66,30000,1,455,False,16,9.1
Unincorporated - North Lancaster,140,11686,2,167,False,126,12.3
Unincorporated - North Whittier,1074,12847,26,311,False,1007,15.4
Unincorporated - Northeast San Gabriel,1558,6482,36,150,False,3328,17.0
Unincorporated - Padua Hills,9,4186,0,0,False,39,30.5
Unincorporated - Palmdale,109,12945,2,238,False,10,1.7
Unincorporated - Palos Verdes Peninsula,20,3221,0,0,False,89,16.3
Unincorporated - Pearblossom/Llano,116,5930,1,51,False,70,4.3
Unincorporated - Pellissier Village,159,25687,1,162,False,49,10.8
Unincorporated - Placerita Canyon,0,0,0,0,False,17,5.1
Unincorporated - Pomona,60,3096,1,52,False,57,3.2
Unincorporated - Quartz Hill,1107,8577,19,147,False,1075,10.3
Unincorporated - Rancho Dominguez,363,13641,5,188,False,268,12.0
Unincorporated - Roosevelt,81,8700,0,0,False,33,4.7
Unincorporated - Rosewood,148,11509,3,233,False,82,8.0
Unincorporated - Rosewood/East Gardena,148,12406,5,419,False,105,10.8
Unincorporated - Rosewood/West Rancho Dominguez,482,14341,8,238,False,169,6.6
Unincorporated - Rowland Heights,3478,6817,46,90,False,6437,15.2
Unincorporated - San Clemente Island,0,0,0,0,False,,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,14,1632,0,0,False,42,30.7
Unincorporated - San Jose Hills,3386,16745,53,262,False,1429,9.4
Unincorporated - San Pasqual,33,1622,1,49,False,363,22.6
Unincorporated - Sand Canyon,15,4870,0,0,False,62,22.4
Unincorporated - Santa Catalina Island,162,60674,1,375,False,16,6.5
Unincorporated - Santa Monica Mountains,558,2997,6,32,True,2607,16.6
Unincorporated - Saugus,127,81935,0,0,False,41,30.8
Unincorporated - Saugus/Canyon Country,38,10674,0,0,False,126,38.0
Unincorporated - South Antelope Valley,25,5495,0,0,False,23,5.6
Unincorporated - South El Monte,338,18830,4,223,False,94,7.0
Unincorporated - South San Gabriel,884,9991,35,396,False,1316,17.9
Unincorporated - South Whittier,7954,13431,125,211,False,4831,10.6
Unincorporated - Southeast Antelope Valley,72,9219,0,0,False,41,6.7
Unincorporated - Stevenson Ranch,1019,4860,4,19,False,2774,16.6
Unincorporated - Sun Village,894,14811,8,133,False,247,5.5
Unincorporated - Sunrise Village,185,14275,1,77,False,149,14.6
Unincorporated - Twin Lakes/Oat Mountain,81,4885,2,121,False,216,15.9
Unincorporated - Val Verde,305,9217,1,30,False,237,9.0
Unincorporated - Valencia,171,5566,1,33,False,401,18.3
Unincorporated - Valinda,3585,15340,57,244,False,2128,11.9
Unincorporated - View Park/Windsor Hills,643,5526,12,103,False,1683,17.2
Unincorporated - Walnut Park,2967,18379,44,273,False,1129,9.4
Unincorporated - West Antelope Valley,47,3111,1,66,False,88,6.7
Unincorporated - West Carson,2013,9114,103,466,False,3364,18.6
Unincorporated - West Chatsworth,2,16667,0,0,False,,
Unincorporated - West LA,212,22269,12,1261,False,82,9.4
Unincorporated - West Puente Valley,1648,16756,21,214,False,852,11.2
Unincorporated - West Rancho Dominguez,176,12951,5,368,False,90,8.5
Unincorporated - West Whittier/Los Nietos,4049,15038,74,275,False,2498,12.0
Unincorporated - Westfield/Academy Hills,34,2615,0,0,False,310,27.7
Unincorporated - Westhills,42,5006,0,0,False,175,23.3
Unincorporated - White Fence Farms,251,6815,2,54,False,343,10.5
Unincorporated - Whittier,300,7928,8,211,False,677,21.5
Unincorporated - Whittier Narrows,13,108333,1,8333,False,,
Unincorporated - Willowbrook,5755,16484,79,226,False,1700,6.7
Unincorporated - Wiseburn,484,8031,8,133,False,609,12.9
