Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Unincorporated - Cerritos,East,587.0,False,72,12266,0.0,0.0,1,170
Unincorporated - Charter Oak,San Gabriel,20.0,False,0,0,0.0,0.0,0,0
Unincorporated - Claremont,San Gabriel,702.0,False,41,5840,0.0,0.0,4,570
Unincorporated - Covina,San Gabriel,16819.0,False,2380,14151,1.86,11.07,42,250
Unincorporated - Covina (Charter Oak),San Gabriel,13144.0,False,1567,11922,1.36,10.36,18,137
Unincorporated - Del Aire,West,4393.0,False,321,7307,0.21,4.86,3,68
Unincorporated - Del Rey,West,318.0,False,35,11006,0.14,44.93,1,314
Unincorporated - Del Sur,Antelope Valley,2415.0,False,174,7205,0.21,8.86,3,124
Unincorporated - Desert View Highlands,Antelope Valley,2493.0,False,372,14922,0.36,14.36,6,241
Unincorporated - Duarte,San Gabriel,4428.0,False,863,19490,0.36,8.07,10,226
Unincorporated - East Covina,San Gabriel,329.0,False,35,10638,0.0,0.0,1,304
Unincorporated - East La Mirada,East,5292.0,False,516,9751,0.57,10.86,7,132
Unincorporated - East Lancaster,Antelope Valley,114.0,False,17,14912,0.0,0.0,0,0
Unincorporated - East Los Angeles,East,125269.0,False,25203,20119,8.93,7.14,434,346
Unincorporated - East Pasadena,San Gabriel,6403.0,False,223,3483,0.0,0.0,10,156
Unincorporated - East Rancho Dominguez,South,15308.0,False,2819,18415,1.14,7.43,52,340
Unincorporated - East Whittier,East,5306.0,False,484,9122,0.14,2.71,9,170
Unincorporated - El Camino Village,South Bay,8791.0,False,857,9749,0.79,9.0,15,171
Unincorporated - El Monte,San Gabriel,145.0,False,24,16552,0.0,0.0,0,0
Unincorporated - Elizabeth Lake,Antelope Valley,1661.0,False,82,4937,0.0,0.0,1,60
Unincorporated - Florence-Firestone,East,64705.0,False,13777,21292,4.57,7.07,218,337
Unincorporated - Franklin Canyon,San Fernando,12.0,False,1,8333,0.0,0.0,0,0
Unincorporated - Glendora,San Gabriel,660.0,False,73,11061,0.07,10.86,3,455
Unincorporated - Hacienda Heights,San Gabriel,55926.0,False,5314,9502,2.86,5.14,99,177
Unincorporated - Harbor Gateway,South Bay,1.0,False,0,0,0.0,0.0,0,0
Unincorporated - Hawthorne,South Bay,2514.0,False,325,12928,0.21,8.57,3,119
Unincorporated - Hi Vista,Antelope Valley,1098.0,False,45,4098,0.0,0.0,0,0
Unincorporated - Kagel/Lopez Canyons,San Fernando,1412.0,False,278,19688,0.29,20.21,2,142
Unincorporated - La Crescenta-Montrose,San Fernando,19801.0,False,1150,5808,1.07,5.43,15,76
